subjID,exptPart,trialNumber,roleCurrent,marblesSampled,asymm,probBullshitterRed,probBullshitDetectorRed,probGlobal,drawnRed,reportedDrawn,compLie,compUnifLie,compDetect,callBS,playerTrialScore,oppTrialScore,playerTotalScore,oppTotalScore,waitTime,responseTime,catchQuestion,catchKey,catchResponse,catchResponseTime,pseudoRound,trialTime
sona-29978,trial,33,bullshitter,10,True,0.2,0.5,0.21875,1,2,-1,False,-0.068359375,False,2,8,90,110,2815.3491246001577,50007,How many red marbles did you actually draw?,-1,-1,-1,False,66341
sona-29978,trial,34,bullshitDetector,10,True,0.8,0.2,0.7625,9,8,-1,True,-0.068359375,True,5,-5,95,105,7157.605413038087,3983,How many red marbles did you actually draw?,-1,-1,-1,False,13130
sona-29978,trial,35,bullshitter,10,True,0.2,0.8,0.2375,5,7,-1,False,0.1980101119999999,False,7,3,102,108,2684.1720496669714,38512,What was the proportion of red to blue marbles from your opponent's perspective?,80,59,15371,False,64250
sona-29978,trial,36,bullshitDetector,10,True,0.5,0.8,0.51875,6,8,8,False,-1,True,5,-5,107,103,5615.8674899019625,10123,What was the proportion of red to blue marbles from your opponent's perspective?,-1,-1,-1,False,17206
sona-29978,trial,37,bullshitter,10,True,0.5,0.2,0.48125,2,4,-1,False,0.7894069760000002,True,-5,5,102,108,3211.451355720726,4163,What was the proportion of red to blue marbles from your opponent's perspective?,-1,-1,-1,False,11811
sona-29978,trial,38,bullshitDetector,10,True,0.8,0.5,0.78125,9,9,8,False,-1,True,-4,9,98,117,6938.904825587476,41265,What was the proportion of red to blue marbles from your opponent's perspective?,-1,-1,-1,False,50818
sona-29978,trial,39,bullshitter,10,False,0.2,0.2,0.2,0,4,-1,False,0.7894069760000002,True,-5,5,93,122,2306.077762924855,4256,What was the proportion of red to blue marbles from your opponent's perspective?,-1,-1,-1,True,10908
sona-29978,trial,40,bullshitDetector,10,True,0.8,0.2,0.7625,9,10,-1,True,0.7894069760000002,False,0,10,93,132,7218.1873496911985,44700,What was the proportion of red to blue marbles from your opponent's perspective?,-1,-1,-1,False,56509
sona-29978,trial,41,bullshitter,10,True,0.8,0.5,0.78125,5,6,-1,False,0.705078125,True,-5,5,88,137,2931.244559315868,44837,How many red marbles did you actually draw?,5,5,4037,False,56080
sona-29978,trial,42,bullshitDetector,10,False,0.5,0.5,0.5,4,5,5,False,-1,False,5,5,93,142,7261.701702078265,3907,How many red marbles did you actually draw?,-1,-1,-1,False,12617
sona-29978,trial,43,bullshitter,10,True,0.2,0.5,0.21875,0,3,-1,False,0.048828125,False,3,7,96,149,2969.756844321779,3482,What was the proportion of red to blue marbles from your perspective?,21.875,0,6898,False,19099
sona-29978,trial,44,bullshitDetector,10,False,0.8,0.8,0.8,9,8,-1,False,0.048828125,False,2,8,98,157,6049.780453098383,11374,What was the proportion of red to blue marbles from your perspective?,-1,-1,-1,True,18692
sona-29978,trial,45,bullshitter,10,True,0.8,0.2,0.7625,9,7,-1,False,0.8221225472000001,False,7,3,105,160,2463.4114829470464,10125,How many red marbles did you actually draw?,9,9,3504,True,22180
sona-29978,trial,46,bullshitDetector,10,False,0.5,0.5,0.5,4,2,-1,False,0.8221225472000001,False,8,2,113,162,7073.53966876919,8723,How many red marbles did you actually draw?,-1,-1,-1,True,17150
sona-29978,trial,47,bullshitter,10,False,0.2,0.2,0.2,2,4,-1,False,0.7894069760000002,True,-5,5,108,167,2269.09238782611,3058,How many red marbles did you actually draw?,-1,-1,-1,False,9707
sona-29978,trial,48,bullshitDetector,10,True,0.5,0.8,0.51875,7,7,6,False,-1,True,-2,7,106,174,6636.378809559699,23956,How many red marbles did you actually draw?,-1,-1,-1,False,32226
sona-29978,trial,49,bullshitter,10,True,0.5,0.2,0.48125,5,7,-1,False,0.8221225472000001,True,-5,5,101,179,2526.401575719542,26249,How many red marbles did you actually draw?,-1,-1,-1,False,34088
